ID,Common.name,Order,Family,Genus,Species,Genus.species,Ecotype_old,Migratory,Ecotype.new,Fin.area,Fin.length.SL.from.base,Fin.length.along.LR,Fin.width.base,Fin.width.trailing,Sk.area,Sk.longest.radial,num.radials,Perc.Skeletal.extent_area,Perc.Skeletal.extent_longest.radial,Aspect.Ratio_base,Aspect.Ratio_fork,Leading.edge.degree.of.taper,LE.taper.angle,Trailing.edge.degree.of.taper,TE.taper.angle,LE.P.perc.cal,LE.P.Shape,LE.IM.perc.cal,LE.IM.shape,LG.P.perc.cal,LG.P.Shape,LG.IM.perc.cal,LG.IM.shape,TE.P.perc.cal,TE.P.Shape,TE.IM.perc.cal,TE.IM.shape
Bonnet_112,Bonnet,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo,Sphyrna_tiburo,Inshore,N,B,124.77,16.483,17.205,7.654,12.645,65.406,14.08,27,52.42125511,85.4213432,0.46953367,2.177520951,-0.158797944,4.539702248,0.14820087,4.237896921,21.34213421,0.998629668,38.67924528,3.403616185,43.139813,1.957660051,30.272,2.191566135,34.67048711,11.20913141,4.754716981,26.65307622
Bonnet_59,Bonnet,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo,Sphyrna_tiburo,Inshore,N,B,31.795,8.148,8.148,2.739,6.314,10.766,4.995,24,33.86066992,61.30338733,0.235952854,2.088061142,0.028508077,0.816640951,0.127969591,3.661067986,61.95043965,3.259536752,29.11813644,1.710453672,36.86396677,1.78172182,22.39909039,3.292524741,38.52140078,9.938952598,10.61381074,6.609573554
Bonnet_73,Bonnet,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo,Sphyrna_tiburo,Inshore,N,B,76.536,12.732,13.035,5.651,9.753,37.425,9.734,26,48.89855754,76.45303173,0.417238959,2.118007526,-0.068901876,1.973112997,0.157900133,4.514142097,45.80244222,5.100492362,30.20999045,1.721362398,77.02386523,1.568060494,48.7241531,2.760211916,38.88126287,8.631045339,9.671361502,3.202730747
CT_1_SIYC_2016,Common_thresher,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias_vulpinus,Oceanic,Y,D,617.953,44.619,43.846,17.709,24.678,523.154,40.375,38,84.65918929,90.48835698,0.507496009,3.221693496,-0.057703217,1.652616959,0.793095064,21.63067929,16.70864306,2.402087461,18.86252828,2.973164768,15.42465239,0.194236702,16.36901552,0.380540455,30.54488436,5.546066388,24.0230319,5.580491378
CT_5_NAST_2016,Common_thresher,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias_vulpinus,Oceanic,Y,D,896.236,57.216,57.536,20.848,29.297,771.314,53.965,35,86.06148381,94.31802293,0.484960551,3.652688194,0.107178209,3.067495369,0.776598287,21.22114862,12.29740817,3.25490762,14.1243773,1.926885496,11.12383483,0.222733731,11.83981859,1.273542862,30.08935825,3.466763537,15.71586485,4.325364768
CT_10,Common_thresher,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias_vulpinus,Oceanic,Y,D,703.139,46.766,47.04,18.265,26.174,628.045,46.946,36,89.32017709,100.384895,0.474458429,3.110421632,0.066019714,1.890638982,0.432490258,12.2020513,24.64635845,4.516120121,10.88008498,0.730638368,20.22023652,0.291837813,16.4984492,0.259397681,0,1.257618958,5.657184302,1.344864427
CT_369,Common_thresher,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias_vulpinus,Oceanic,Y,D,1194.033,66.513,66.714,28.154,35.408,1062.548,67.397,35,88.98816029,101.3290635,0.663840711,3.705072782,-0.28739268,8.177217603,0.359692725,10.19544697,10.64743082,4.042649516,21.03182852,4.764058806,14.34102994,0.325887266,17.51667892,0.316909822,7.679191279,1.418734469,9.536806942,0.987625796
CT_9,Common_thresher,Lamniformes,Alopiidae,Alopias,vulpinus,Alopias_vulpinus,Oceanic,Y,D,876.984,55.591,56.582,22.745,27.598,728.189,53.192,33,83.03332786,95.68455326,0.589902467,3.523849102,-0.097253424,2.783912516,0.461772592,13.00098484,10.76692468,2.529737165,12.19059406,1.484527609,13.35129445,0.506505165,12.51782074,0.290385652,22.78683482,6.53513483,14.61969473,6.838980329
D_397,Dusky,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus,Carcharhinus_obscurus,Inshore_offshore,Y,D,58.22,13.353,14.011,5.05,7.685,30.642,11.122,29,52.63139814,83.29214409,0.438036757,3.062566283,-0.003643461,0.104377362,0.202992843,5.795470245,26.25052839,6.079635996,17.15686275,0.598233221,26.86507937,1.104643898,17.12454212,0.872749308,16.77783479,5.511042534,0,4.517811479
D_398,Dusky,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus,Carcharhinus_obscurus,Inshore_offshore,Y,D,490.1,42.057,41.98,10.048,21.448,328.903,39.638,29,67.10936544,94.24828209,0.206003477,3.60904152,-0.011003357,0.315219777,0.301380082,8.569428134,27.37158331,0.637226439,25.87350215,2.108117057,43.14879846,0.96050137,26.33338323,0.726954519,15.9862162,8.094572626,0,5.414007358
D_400,Dusky,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus,Carcharhinus_obscurus,Inshore_offshore,Y,D,744.048,53.574,54.125,18.699,26.692,476.712,48.064,29,64.07006,89.71516034,0.469932855,3.857511177,0.081522554,2.33415698,0.419601379,11.84884136,17.27617211,0.911301098,29.42510969,1.241431799,28.05521311,0.604251232,25.08250825,0.911417765,31.25909753,4.215238397,18.4287302,3.145515816
D_85,Dusky,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus,Carcharhinus_obscurus,Inshore_offshore,Y,D,70.837,15.388,15.065,5.164,8.158,42.872,11.99,25,60.52204356,77.91785807,0.376454339,3.34275229,-0.070605541,2.021860083,0.254474136,7.25118404,14.70223325,2.145815663,12.1797005,0.50765625,21.65120152,1.121107266,24.66747279,1.10687934,19.84126984,3.363471028,0,4.451736214
GHH_4_17_2017,Great_hammer,Carcharhiniformes,Sphyrnidae,Sphyrna,mokarran,Sphyrna_mokarran,Inshore_offshore,Y,D,1111.976,53.456,56.921,25.862,37.942,633.766,43.629,28,56.99457542,81.61665669,0.601490539,2.569789218,-0.001054241,0.030201768,0.232987191,6.644641762,40.16549968,5.341478552,42.20779221,0.783255837,50,0.840277778,42.43458476,3.513118762,27.69230769,4.162420141,3.738317757,1.649461745
GHH_5.3.17,Great_hammer,Carcharhiniformes,Sphyrnidae,Sphyrna,mokarran,Sphyrna_mokarran,Inshore_offshore,Y,D,899.419,50.5,51.999,23.44,31.357,564.158,43.06,28,62.72471451,85.26732673,0.610876132,2.835441546,-0.086742992,2.483447259,0.285741621,8.13086978,30.84677419,0.62209879,30.4975923,1.264197738,49.23339012,1.490036204,46.48786718,2.011109772,65.24390244,4.587268879,0,3.156967474
LN_3_NAST_2016,Porbeagle,Lamniformes,Lamnidae,Lamna,nasus,Lamna_nasus,Oceanic,Y,D,721.147,43.134,44.561,17.302,26.853,439.032,35.152,29,60.87968195,81.49487643,0.41511537,2.579976005,-0.27795777,7.912221455,0.488139128,13.71599856,18.72835094,1.688179994,16.92385158,0.702539903,0,0.384984092,17.13982244,0.489236616,2.782460592,4.700837967,11.59195119,2.25
LN_635,Porbeagle,Lamniformes,Lamnidae,Lamna,nasus,Lamna_nasus,Oceanic,Y,D,682.195,41.89,41.143,18.112,27.155,507.873,39.202,27,74.44689568,93.58319408,0.480866239,2.572244153,0.380777021,10.77944998,0.414803904,11.71713501,23.80440015,0.444717654,13.12961636,0.260191979,28.19576249,0.49088754,16.0383112,0.995956423,0,0.853621956,9.505703422,2.144834669
LN_651,Porbeagle,Lamniformes,Lamnidae,Lamna,nasus,Lamna_nasus,Oceanic,Y,D,90.536,15.307,16.177,5.647,9.894,66.154,15.424,28,73.06927631,100.7643562,0.352220211,2.587967759,-0.026278553,0.752781761,0.670709521,18.53912285,12.82612141,3.150368502,10.51238258,0.52030225,10.55303233,0.229179866,9.928713634,0.458317018,7.808471455,0.486252404,10.8656284,1.60856633
23_SHH_42.3,Scalloped_hammer,Carcharhiniformes,Sphyrnidae,Sphyrna,lewini,Sphyrna_lewini,Inshore_offshore,Y,C,20.366,6.503,6.624,2.999,4.969,9.258,5.079,27,45.45811647,78.10241427,0.441618433,2.07645139,-0.186757899,5.334749913,-0.018514792,0.530394561,26.35460993,5.997166177,38.52739726,0.373050307,26.35460993,5.997166177,60,1.479497966,58.44827586,1.211134286,23.64170338,2.321141869
25_ATSN,Sharpnose,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae,Rhizoprionodon_terraenovae,Inshore,N,B,39.14,8.616,9.706,4.433,6.67,16.431,6.82,23,41.98007154,79.15506035,0.502081988,1.896664691,0.061769115,1.768992498,0.16071964,4.594405741,38.31300813,3.905064465,30.95396931,2.511005917,44.44444444,1.017251684,31.36472466,1.271120332,27.877429,1.48688375,11.13460183,6.437232947
